benchmark,variant,size,threads,metric_name,m5_time_mean_ms,m5_time_std_ms,m5_metric_mean,m5_compiler_config,i5_time_mean_ms,i5_time_std_ms,i5_metric_mean,i5_compiler_config,speedup_m5
matrix,parallel,512,2,gflops,72.49310820000001,1.915866835174014,3.7049520758,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,161.95,4.462633303331114,1.65855247678,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.234005466467224
matrix,parallel,512,4,gflops,40.051941799999994,1.5428183707117618,6.7102175187,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,172.704,114.02150779348607,2.00549266358,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,4.312000673085969
matrix,parallel,512,8,gflops,24.7739834,0.6336764222158667,10.84093536856,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,58.309400000000004,4.96126110983891,4.631576154279999,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.353654600414401
matrix,serial,128,1,gflops,0.9947084,0.019336027831485934,4.21790169792,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.2344000000000002,0.17549729342642303,3.45206818446,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.2409666993864736
matrix,serial,256,1,gflops,9.6672082,0.009806454083918182,3.4709565494000003,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,9.972399999999999,0.4521197850127774,3.3702534465600005,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0315697969554436
matrix,serial,512,1,gflops,130.5421002,0.10660610672799764,2.05631439086,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,300.50079999999997,7.038802895379297,0.89367980088,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.301945499111864
matrix,serial,1024,1,gflops,1179.5220998,1.7420491620945622,1.82064192728,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,3247.224,179.94231638639064,0.66287970042,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.752999711112323
memory,random,32768,1,million_accesses_per_s,1.046507,0.044222899167738756,4013.6314155386335,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.6572,0.3562417718348032,2621.6708193393397,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.5835536694928938
memory,random,65536,1,million_accesses_per_s,0.9974000000000001,0.006873446806370121,4205.39663701034,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,2.0324,0.2950462675581577,2099.98672547938,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.0376980148385804
memory,random,262144,1,million_accesses_per_s,1.7312334,0.04431851643275076,2424.0345086973402,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,2.1812,0.2597300521695555,1946.3972175375197,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.259910997558157
memory,random,1048576,1,million_accesses_per_s,1.9831168000000001,0.01515667422952667,2115.10494168778,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,3.1486,0.9549098386758827,1422.2579468455601,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.587702751547463
memory,random,4194304,1,million_accesses_per_s,2.3082751999999997,0.032970372771626386,1817.37002290122,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,7.631400000000001,0.7514072131674011,553.90705744104,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,3.306104921978108
