benchmark,variant,size,threads,metric_name,m5_time_mean_ms,m5_time_std_ms,m5_time_min_ms,m5_time_max_ms,m5_sample_count,m5_metric_mean,m5_metric_std,m5_parallel_speedup,m5_parallel_efficiency,m5_compiler_config,i5_time_mean_ms,i5_time_std_ms,i5_time_min_ms,i5_time_max_ms,i5_sample_count,i5_metric_mean,i5_metric_std,i5_parallel_speedup,i5_parallel_efficiency,i5_compiler_config,speedup_m5
memory,random,32768,1,million_accesses_per_s,1.0265582,0.023342592980786458,0.999792,1.075833,10,4087.6599046607503,91.26320727505949,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.2454,0.08957082858460859,1.151,1.365,10,3383.46848531908,241.60447754910336,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.2131801197438197
memory,random,65536,1,million_accesses_per_s,1.010979,0.0335644347520142,0.989333,1.104083,10,4152.58342346269,128.16242077873986,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.3291,0.13601588959464336,1.217,1.593,10,3183.47543409416,301.67711986796473,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.3146662789236967
memory,random,262144,1,million_accesses_per_s,1.7538792,0.0391641102081995,1.677458,1.815292,10,2392.5295888907103,54.03233250443357,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.6806,0.2202439052000708,1.513,2.223,10,2528.9531072853597,284.1739255761824,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9582187872460087
memory,random,1048576,1,million_accesses_per_s,2.0619914,0.07223499477738529,2.003708,2.229958,10,2036.24532680962,67.95547659833595,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,2.6363,0.5348432896133636,2.06,4.039,10,1637.10100556446,259.517784001006,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.2785213362189578
memory,random,4194304,1,million_accesses_per_s,2.3552126,0.03428581411280438,2.313209,2.403375,10,1781.1991386901402,25.883433257146923,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,5.5908,0.25796631993774355,5.236,6.015,10,751.64143573735,34.363667397782706,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.373798441805211
memory,random,16777216,1,million_accesses_per_s,3.1332919,0.3151674704391126,2.68525,3.652917,10,1350.8300198675202,135.29357837543282,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,12.6417,0.47364216450818647,11.878,13.177,10,332.20817182396,12.606203703984129,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,4.034638458038334
memory,random,67108864,1,million_accesses_per_s,38.089766600000004,0.3999904284805373,37.555583,38.758625,10,440.50871389566,4.606142321707327,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,98.2833,1.051036742142408,96.623,99.743,10,170.72021715578,1.829306319368612,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.5803072261408917
memory,random,268435456,1,million_accesses_per_s,199.4221874,0.17409904706113977,199.215125,199.790333,10,336.51676817453,0.2936142743243694,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,509.7494,2.7929925090403604,504.448,514.726,10,131.6542563943,0.7217483068658864,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.556131825881276
memory,sequential,32768,1,million_accesses_per_s,1.0777706,0.03697753266872557,1.052916,1.165208,10,3895.5748163915,127.20392923483172,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0592000000000001,0.018023441526091626,1.05,1.107,10,3960.87683362639,65.15070289034131,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9827694316397201
memory,sequential,65536,1,million_accesses_per_s,1.0135999,0.044352186335812886,0.975458,1.131,10,4144.6291990400105,167.8022174996936,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9879999999999999,0.03929942040850536,0.955,1.064,10,4251.08012571776,163.00439029374664,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9747435847221373
memory,sequential,262144,1,million_accesses_per_s,0.9860501000000002,0.01172382143283023,0.971625,1.0055,10,4254.181141530729,50.39707659283911,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0279,0.03678601787515355,1.001,1.116,10,4084.94892016765,139.47807408872524,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0424419611133349
