benchmark,variant,size,threads,metric_name,m5_time_mean_ms,m5_time_std_ms,m5_time_min_ms,m5_time_max_ms,m5_sample_count,m5_metric_mean,m5_metric_std,m5_parallel_speedup,m5_parallel_efficiency,m5_compiler_config,i5_time_mean_ms,i5_time_std_ms,i5_time_min_ms,i5_time_max_ms,i5_sample_count,i5_metric_mean,i5_metric_std,i5_parallel_speedup,i5_parallel_efficiency,i5_compiler_config,speedup_m5
matrix,parallel,512,2,gflops,74.0817668,4.4795990884303665,71.579375,86.528708,10,3.63400260518,0.19307481354942974,1.7905752633858618,0.8952876316929309,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,149.7845,5.50662018241075,141.956,160.985,10,1.7942850702600002,0.06475281946881033,1.9708708177414889,0.9854354088707444,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.0218807740422307
matrix,parallel,512,4,gflops,40.2629914,2.0823311274462575,38.464041,45.442916,10,6.68196995051,0.32092046915807043,3.294563431270534,0.8236408578176335,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,77.7012,1.5580492646611392,75.542,80.08,10,3.45596136032,0.0691059485102105,3.7992450567044016,0.9498112641761004,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.929841705700983
matrix,parallel,512,8,gflops,25.866337499999997,0.7132683391715222,24.628209,26.746083,10,10.38497190251,0.2894316692098489,5.128247441293148,0.6410309301616435,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,43.047000000000004,0.8943638334965633,41.199,44.246,10,6.238322453069999,0.1312481887878874,6.857757799614375,0.8572197249517969,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.6642093222513628
matrix,serial,128,1,gflops,1.0201833,0.036465191225636275,0.96425,1.100625,10,4.1159421285999995,0.14372978788424956,1.0,1.0,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.1064,0.12644823271028965,1.016,1.419,10,3.8289766632099997,0.3710919073736417,1.0,1.0,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0845109893486788
matrix,serial,256,1,gflops,9.7847542,0.08595123310834155,9.666167,9.933041,10,3.429494418,0.030094493517280732,1.0,1.0,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,8.9978,0.23371388015643854,8.676,9.435,10,3.73141366637,0.09550162531019378,1.0,1.0,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9195734319008239
matrix,serial,512,1,gflops,132.6489791,0.4650271944799283,132.034084,133.398875,10,2.02367500455,0.007090133861882785,1.0,1.0,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,295.20590000000004,3.4153682231935183,288.131,299.33,10,0.90942648264,0.010608875649306132,1.0,1.0,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.2254668072300308
matrix,serial,1024,1,gflops,1193.007754,9.790281531598044,1179.475166,1208.090041,10,1.8001672680599998,0.01473855211593651,1.0,1.0,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,2810.9296000000004,107.18761588728437,2702.719,3089.148,10,0.76491620722,0.02741140001106278,1.0,1.0,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.3561704360892195
memory,random,32768,1,million_accesses_per_s,1.0265582,0.023342592980786458,0.999792,1.075833,10,4087.6599046607503,91.26320727505949,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.2454,0.08957082858460859,1.151,1.365,10,3383.46848531908,241.60447754910336,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.2131801197438197
memory,random,65536,1,million_accesses_per_s,1.010979,0.0335644347520142,0.989333,1.104083,10,4152.58342346269,128.16242077873986,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.3291,0.13601588959464336,1.217,1.593,10,3183.47543409416,301.67711986796473,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.3146662789236967
memory,random,262144,1,million_accesses_per_s,1.7538792,0.0391641102081995,1.677458,1.815292,10,2392.5295888907103,54.03233250443357,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.6806,0.2202439052000708,1.513,2.223,10,2528.9531072853597,284.1739255761824,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9582187872460087
memory,random,1048576,1,million_accesses_per_s,2.0619914,0.07223499477738529,2.003708,2.229958,10,2036.24532680962,67.95547659833595,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,2.6363,0.5348432896133636,2.06,4.039,10,1637.10100556446,259.517784001006,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.2785213362189578
