platform,arch,benchmark,variant,size,threads,metric_name,compiler_config,time_mean_ms,time_std_ms,time_min_ms,time_max_ms,sample_count,metric_mean,metric_std,speedup,parallel_efficiency
macos,arm64,matrix,parallel,32,2,gflops,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.049125,,0.049125,0.049125,1,1.3340661578,,0.30534351145038163,0.15267175572519082
macos,arm64,matrix,parallel,32,4,gflops,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.062625,,0.062625,0.062625,1,1.0464830339,,0.23952095808383234,0.059880239520958084
macos,arm64,matrix,parallel,32,8,gflops,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.107375,,0.107375,0.107375,1,0.610346915,,0.13969732246798602,0.017462165308498253
macos,arm64,matrix,parallel,32,10,gflops,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.111625,,0.111625,0.111625,1,0.5871086226,,0.1343784994400896,0.01343784994400896
macos,arm64,matrix,parallel,512,2,gflops,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,72.49310820000001,1.915866835174014,70.317625,75.468791,5,3.7049520758,0.09661223681237342,1.8007518706447185,0.9003759353223593
macos,arm64,matrix,parallel,512,4,gflops,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,40.051941799999994,1.5428183707117618,37.984333,41.738667,5,6.7102175187,0.2608025458060461,3.2593201311403086,0.8148300327850772
macos,arm64,matrix,parallel,512,8,gflops,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,24.7739834,0.6336764222158667,24.268375,25.797125,5,10.84093536856,0.27165727072969037,5.26932217933108,0.658665272416385
macos,arm64,matrix,parallel,512,10,gflops,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,23.0614664,0.5352712706462951,22.184166,23.625166,5,11.6451141461,0.2755011002526011,5.660615762057525,0.5660615762057525
macos,arm64,matrix,serial,32,1,gflops,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.015,,0.015,0.015,1,4.3690666667,,1.0,1.0
macos,arm64,matrix,serial,128,1,gflops,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9947084,0.019336027831485934,0.966292,1.017083,5,4.21790169792,0.08264471480769164,1.0,1.0
macos,arm64,matrix,serial,256,1,gflops,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,9.6672082,0.009806454083918182,9.657625,9.680833,5,3.4709565494000003,0.003520186673912897,1.0,1.0
