platform,arch,benchmark,variant,size,threads,metric_name,compiler_config,time_mean_ms,time_std_ms,time_min_ms,time_max_ms,sample_count,metric_mean,metric_std,speedup,parallel_efficiency
windows,x86_64,matrix,parallel,512,2,gflops,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,149.7845,5.50662018241075,141.956,160.985,10,1.7942850702600002,0.06475281946881033,1.9708708177414889,0.9854354088707444
windows,x86_64,matrix,parallel,512,4,gflops,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,77.7012,1.5580492646611392,75.542,80.08,10,3.45596136032,0.0691059485102105,3.7992450567044016,0.9498112641761004
windows,x86_64,matrix,parallel,512,8,gflops,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,43.047000000000004,0.8943638334965633,41.199,44.246,10,6.238322453069999,0.1312481887878874,6.857757799614375,0.8572197249517969
windows,x86_64,matrix,parallel,512,12,gflops,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,34.5247,0.8676526506743464,33.658,35.994,10,7.77954581351,0.19343441229765562,8.55057104044351,0.7125475867036258
windows,x86_64,matrix,serial,128,1,gflops,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.1064,0.12644823271028965,1.016,1.419,10,3.8289766632099997,0.3710919073736417,1.0,1.0
windows,x86_64,matrix,serial,256,1,gflops,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,8.9978,0.23371388015643854,8.676,9.435,10,3.73141366637,0.09550162531019378,1.0,1.0
windows,x86_64,matrix,serial,512,1,gflops,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,295.20590000000004,3.4153682231935183,288.131,299.33,10,0.90942648264,0.010608875649306132,1.0,1.0
windows,x86_64,matrix,serial,1024,1,gflops,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2810.9296000000004,107.18761588728437,2702.719,3089.148,10,0.76491620722,0.02741140001106278,1.0,1.0
windows,x86_64,memory,random,32768,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.2454,0.08957082858460859,1.151,1.365,10,3383.46848531908,241.60447754910336,,
windows,x86_64,memory,random,65536,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.3291,0.13601588959464336,1.217,1.593,10,3183.47543409416,301.67711986796473,,
windows,x86_64,memory,random,262144,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.6806,0.2202439052000708,1.513,2.223,10,2528.9531072853597,284.1739255761824,,
windows,x86_64,memory,random,1048576,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.6363,0.5348432896133636,2.06,4.039,10,1637.10100556446,259.517784001006,,
windows,x86_64,memory,random,4194304,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,5.5908,0.25796631993774355,5.236,6.015,10,751.64143573735,34.363667397782706,,
windows,x86_64,memory,random,16777216,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,12.6417,0.47364216450818647,11.878,13.177,10,332.20817182396,12.606203703984129,,
windows,x86_64,memory,random,67108864,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,98.2833,1.051036742142408,96.623,99.743,10,170.72021715578,1.829306319368612,,
windows,x86_64,memory,random,268435456,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,509.7494,2.7929925090403604,504.448,514.726,10,131.6542563943,0.7217483068658864,,
windows,x86_64,memory,sequential,32768,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0592000000000001,0.018023441526091626,1.05,1.107,10,3960.87683362639,65.15070289034131,,
windows,x86_64,memory,sequential,65536,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9879999999999999,0.03929942040850536,0.955,1.064,10,4251.08012571776,163.00439029374664,,
windows,x86_64,memory,sequential,262144,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0279,0.03678601787515355,1.001,1.116,10,4084.94892016765,139.47807408872524,,
windows,x86_64,memory,sequential,1048576,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.056,0.11496472889059886,0.961,1.345,10,4008.01545274221,370.0688602453021,,
windows,x86_64,memory,sequential,4194304,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0655,0.10956707737474995,0.964,1.295,10,3970.6129506714096,369.85759387548967,,
windows,x86_64,memory,sequential,16777216,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.2205,0.16186362572651497,1.108,1.605,10,3482.9733984513305,390.6982862417262,,
windows,x86_64,memory,sequential,67108864,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,4.9234,0.27921007622696337,4.511,5.388,10,3417.56826635786,194.6510502096074,,
windows,x86_64,memory,sequential,268435456,1,million_accesses_per_s,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,19.1713,0.26394698541773737,18.684,19.585,10,3501.0848556523597,48.35003587893264,,
windows,x86_64,quicksort,hoare,100000,1,none,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,6.4046,0.16275557679470695,6.189,6.704,10,0.0,0.0,,
windows,x86_64,quicksort,hoare,1000000,1,none,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,72.0452,0.6307589432140032,70.955,73.201,10,0.0,0.0,,
windows,x86_64,quicksort,hoare,5000000,1,none,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,391.6654,8.624672183142179,381.969,404.335,10,0.0,0.0,,
windows,x86_64,quicksort,hoare,10000000,1,none,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,827.4983,17.6957298053639,813.452,874.623,10,0.0,0.0,,
windows,x86_64,sieve,eratosthenes,1000000,1,none,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9402000000000001,0.06230355795083726,0.895,1.044,10,0.0,0.0,,
windows,x86_64,sieve,eratosthenes,5000000,1,none,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,9.6569,0.3298064920862265,9.301,10.417,10,0.0,0.0,,
windows,x86_64,sieve,eratosthenes,10000000,1,none,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,21.1922,0.5333301666572653,20.001,21.902,10,0.0,0.0,,
windows,x86_64,sieve,eratosthenes,50000000,1,none,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,250.4551,11.871783648167154,233.584,264.562,10,0.0,0.0,,
